time_stamp,power
2026-01-01T00:00:00.000Z,0.000000
2026-01-01T00:00:00.216Z,3.142756
2026-01-01T00:00:00.432Z,6.236097
2026-01-01T00:00:00.648Z,9.231388
2026-01-01T00:00:00.864Z,12.081541
2026-01-01T00:00:01.080Z,14.741755
2026-01-01T00:00:01.296Z,17.170226
2026-01-01T00:00:01.512Z,19.328805
2026-01-01T00:00:01.728Z,21.183596
2026-01-01T00:00:01.944Z,22.705499
2026-01-01T00:00:02.160Z,23.870661
2026-01-01T00:00:02.376Z,24.660854
2026-01-01T00:00:02.592Z,25.063766
2026-01-01T00:00:02.808Z,25.073190
2026-01-01T00:00:03.024Z,24.689128
2026-01-01T00:00:03.240Z,23.917784
2026-01-01T00:00:03.456Z,22.771473
2026-01-01T00:00:03.672Z,21.268419
2026-01-01T00:00:03.888Z,19.432477
2026-01-01T00:00:04.104Z,17.292748
2026-01-01T00:00:04.320Z,14.883127
2026-01-01T00:00:04.536Z,12.241762
2026-01-01T00:00:04.752Z,9.410459
2026-01-01T00:00:04.968Z,6.434017
2026-01-01T00:00:05.184Z,3.359525
2026-01-01T00:00:05.400Z,0.235619
2026-01-01T00:00:05.616Z,-2.888287
2026-01-01T00:00:05.832Z,-5.962779
2026-01-01T00:00:06.048Z,-8.939221
2026-01-01T00:00:06.264Z,-11.770524
2026-01-01T00:00:06.480Z,-14.411889
2026-01-01T00:00:06.696Z,-16.821510
2026-01-01T00:00:06.912Z,-18.961239
2026-01-01T00:00:07.128Z,-20.797181
2026-01-01T00:00:07.344Z,-22.300235
2026-01-01T00:00:07.560Z,-23.446547
2026-01-01T00:00:07.776Z,-24.217890
2026-01-01T00:00:07.992Z,-24.601953
2026-01-01T00:00:08.208Z,-24.592528
2026-01-01T00:00:08.424Z,-24.189616
2026-01-01T00:00:08.640Z,-23.399423
2026-01-01T00:00:08.856Z,-22.234262
2026-01-01T00:00:09.072Z,-20.712359
2026-01-01T00:00:09.288Z,-18.857568
2026-01-01T00:00:09.504Z,-16.698990
2026-01-01T00:00:09.720Z,-14.270519
2026-01-01T00:00:09.936Z,-11.610304
2026-01-01T00:00:10.152Z,-8.760152
2026-01-01T00:00:10.368Z,-5.764861
2026-01-01T00:00:10.584Z,-2.671520
