time_stamp,power
2026-01-01T00:00:00.000Z,0.000000
2026-01-01T00:00:05.000Z,16.666667
2026-01-01T00:00:10.000Z,33.333333
2026-01-01T00:00:15.000Z,50.000000
2026-01-01T00:00:20.000Z,66.666667
2026-01-01T00:00:25.000Z,83.333333
2026-01-01T00:00:30.000Z,100.000000
2026-01-01T00:00:35.000Z,83.333333
2026-01-01T00:00:40.000Z,66.666667
2026-01-01T00:00:45.000Z,50.000000
2026-01-01T00:00:50.000Z,33.333333
2026-01-01T00:00:55.000Z,16.666667
2026-01-01T00:01:00.000Z,0.000000
2026-01-01T00:01:05.000Z,16.666667
2026-01-01T00:01:10.000Z,33.333333
2026-01-01T00:01:15.000Z,50.000000
2026-01-01T00:01:20.000Z,66.666667
2026-01-01T00:01:25.000Z,83.333333
2026-01-01T00:01:30.000Z,100.000000
2026-01-01T00:01:35.000Z,83.333333
2026-01-01T00:01:40.000Z,66.666667
2026-01-01T00:01:45.000Z,50.000000
2026-01-01T00:01:50.000Z,33.333333
2026-01-01T00:01:55.000Z,16.666667
2026-01-01T00:02:00.000Z,0.000000
2026-01-01T00:02:05.000Z,16.666667
2026-01-01T00:02:10.000Z,33.333333
2026-01-01T00:02:15.000Z,50.000000
2026-01-01T00:02:20.000Z,66.666667
2026-01-01T00:02:25.000Z,83.333333
2026-01-01T00:02:30.000Z,100.000000
2026-01-01T00:02:35.000Z,83.333333
2026-01-01T00:02:40.000Z,66.666667
2026-01-01T00:02:45.000Z,50.000000
2026-01-01T00:02:50.000Z,33.333333
2026-01-01T00:02:55.000Z,16.666667
2026-01-01T00:03:00.000Z,0.000000
2026-01-01T00:03:05.000Z,16.666667
2026-01-01T00:03:10.000Z,33.333333
2026-01-01T00:03:15.000Z,50.000000
2026-01-01T00:03:20.000Z,66.666667
2026-01-01T00:03:25.000Z,83.333333
2026-01-01T00:03:30.000Z,100.000000
2026-01-01T00:03:35.000Z,83.333333
2026-01-01T00:03:40.000Z,66.666667
2026-01-01T00:03:45.000Z,50.000000
2026-01-01T00:03:50.000Z,33.333333
2026-01-01T00:03:55.000Z,16.666667
2026-01-01T00:04:00.000Z,0.000000
2026-01-01T00:04:05.000Z,16.666667
2026-01-01T00:04:10.000Z,33.333333
2026-01-01T00:04:15.000Z,50.000000
2026-01-01T00:04:20.000Z,66.666667
2026-01-01T00:04:25.000Z,83.333333
2026-01-01T00:04:30.000Z,100.000000
2026-01-01T00:04:35.000Z,83.333333
2026-01-01T00:04:40.000Z,66.666667
2026-01-01T00:04:45.000Z,50.000000
2026-01-01T00:04:50.000Z,33.333333
2026-01-01T00:04:55.000Z,16.666667
2026-01-01T00:05:00.000Z,0.000000
2026-01-01T00:05:05.000Z,16.666667
2026-01-01T00:05:10.000Z,33.333333
2026-01-01T00:05:15.000Z,50.000000
2026-01-01T00:05:20.000Z,66.666667
2026-01-01T00:05:25.000Z,83.333333
2026-01-01T00:05:30.000Z,100.000000
2026-01-01T00:05:35.000Z,83.333333
2026-01-01T00:05:40.000Z,66.666667
2026-01-01T00:05:45.000Z,50.000000
2026-01-01T00:05:50.000Z,33.333333
2026-01-01T00:05:55.000Z,16.666667
2026-01-01T00:06:00.000Z,0.000000
2026-01-01T00:06:05.000Z,16.666667
2026-01-01T00:06:10.000Z,33.333333
2026-01-01T00:06:15.000Z,50.000000
2026-01-01T00:06:20.000Z,66.666667
2026-01-01T00:06:25.000Z,83.333333
2026-01-01T00:06:30.000Z,100.000000
2026-01-01T00:06:35.000Z,83.333333
2026-01-01T00:06:40.000Z,66.666667
2026-01-01T00:06:45.000Z,50.000000
2026-01-01T00:06:50.000Z,33.333333
2026-01-01T00:06:55.000Z,16.666667
2026-01-01T00:07:00.000Z,0.000000
2026-01-01T00:07:05.000Z,16.666667
2026-01-01T00:07:10.000Z,33.333333
2026-01-01T00:07:15.000Z,50.000000
2026-01-01T00:07:20.000Z,66.666667
2026-01-01T00:07:25.000Z,83.333333
2026-01-01T00:07:30.000Z,100.000000
2026-01-01T00:07:35.000Z,83.333333
2026-01-01T00:07:40.000Z,66.666667
2026-01-01T00:07:45.000Z,50.000000
2026-01-01T00:07:50.000Z,33.333333
2026-01-01T00:07:55.000Z,16.666667
2026-01-01T00:08:00.000Z,0.000000
2026-01-01T00:08:05.000Z,16.666667
2026-01-01T00:08:10.000Z,33.333333
2026-01-01T00:08:15.000Z,50.000000
2026-01-01T00:08:20.000Z,66.666667
2026-01-01T00:08:25.000Z,83.333333
2026-01-01T00:08:30.000Z,100.000000
2026-01-01T00:08:35.000Z,83.333333
2026-01-01T00:08:40.000Z,66.666667
2026-01-01T00:08:45.000Z,50.000000
2026-01-01T00:08:50.000Z,33.333333
2026-01-01T00:08:55.000Z,16.666667
2026-01-01T00:09:00.000Z,0.000000
2026-01-01T00:09:05.000Z,16.666667
2026-01-01T00:09:10.000Z,33.333333
2026-01-01T00:09:15.000Z,50.000000
2026-01-01T00:09:20.000Z,66.666667
2026-01-01T00:09:25.000Z,83.333333
2026-01-01T00:09:30.000Z,100.000000
2026-01-01T00:09:35.000Z,83.333333
2026-01-01T00:09:40.000Z,66.666667
2026-01-01T00:09:45.000Z,50.000000
2026-01-01T00:09:50.000Z,33.333333
2026-01-01T00:09:55.000Z,16.666667
2026-01-01T00:10:00.000Z,0.000000
