Symbol,Date,Open,High,Low,Close,AdjClose,Volume
"AAPL","2013-05-13",64.501427,65.414284,64.5,64.96286,50.961628,79237200
"AAPL","2013-05-14",64.835716,65.028572,63.164288,63.408573,49.742329,111779500
"AAPL","2013-05-15",62.737144,63,60.337143,61.264286,48.060188,185403400
"AAPL","2013-05-16",60.462856,62.549999,59.842857,62.082859,48.702328,150801000
"AAPL","2013-05-17",62.721428,62.869999,61.572857,61.894287,48.554409,106976100
"AAPL","2013-05-20",61.701427,63.685715,61.442856,63.275715,49.638096,112894600
"AAPL","2013-05-21",62.592857,63.639999,62.028572,62.808571,49.271629,114005500
"AAPL","2013-05-22",63.435715,64.050003,62.602856,63.049999,49.461025,110759600
"AAPL","2013-05-23",62.278572,63.737144,62.255714,63.162857,49.549564,88255300
"AAPL","2013-05-24",62.978573,63.665714,62.908573,63.592857,49.886887,69041700
"AAPL","2013-05-28",64.271431,64.444283,62.978573,63.062859,49.471127,96536300
"AAPL","2013-05-29",62.857143,63.92857,62.771427,63.564285,49.864471,82644100
"AAPL","2013-05-30",63.664288,64.928574,63.501427,64.511429,50.607475,88379900
"AAPL","2013-05-31",64.64286,65.300003,64.214287,64.247147,50.400158,96075700
"AAPL","2013-06-03",64.389999,64.622856,63.21143,64.388573,50.511097,93088100
"AAPL","2013-06-04",64.745712,64.918571,63.912857,64.187141,50.353092,73182200
"AAPL","2013-06-05",63.664288,64.388573,63.387142,63.587143,49.882401,72647400
"AAPL","2013-06-06",63.638573,63.857143,62.007141,62.637142,49.137157,104233500
"AAPL","2013-06-07",62.357143,63.32,61.824287,63.115715,49.512577,101133900
"AAPL","2013-06-10",63.532856,64.154289,62.400002,62.69857,49.185345,112538300
"AAPL","2013-06-11",62.248573,63.251427,61.902859,62.514286,49.040783,71528100
"AAPL","2013-06-12",62.785713,63.035713,61.642857,61.741428,48.434486,66306800
"AAPL","2013-06-13",61.785713,62.44857,61.25,62.279999,48.856991,71458100
"AAPL","2013-06-14",62.200001,62.327145,61.214287,61.435715,48.194675,67966500
"AAPL","2013-06-17",61.634285,62.242859,61.48,61.714287,48.4132,64853600
"AAPL","2013-06-18",61.651428,62.128571,61.458572,61.681427,48.387424,48756400
"AAPL","2013-06-19",61.628571,61.665714,60.42857,60.42857,47.404587,77735000
"AAPL","2013-06-20",59.900002,60.854286,59.310001,59.548573,46.714264,89327700
"AAPL","2013-06-21",59.784286,60,58.299999,59.07143,46.339951,120279600
"AAPL","2013-06-24",58.200001,58.380001,56.864285,57.505714,45.111698,120186500
"AAPL","2013-06-25",57.957142,58.255714,56.975716,57.51857,45.121765,78540700
"AAPL","2013-06-26",57.700001,57.827145,56.522858,56.867142,44.610741,91931000
"AAPL","2013-06-27",57.035713,57.341427,56.220001,56.254284,44.129971,84311500
"AAPL","2013-06-28",55.908573,57.181427,55.552856,56.647144,44.438164,144629100
"AAPL","2013-07-01",57.527142,58.895714,57.317142,58.459999,45.860298,97763400
"AAPL","2013-07-02",58.565716,60.232857,58.495716,59.784286,46.899162,117466300
"AAPL","2013-07-03",60.122856,60.425713,59.635715,60.114285,47.158039,60232200
